Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2)
0.043088096,0.497801185,1.309219599,0.217160225
0.053088096,0.498624831,1.232787013,0.274126053
0.063088096,0.47462824,1.212903857,0.193127632
0.073088346,0.47286883,1.201925397,0.162934303
0.083088346,0.468581676,1.209473252,0.196492195
0.093088346,0.440286696,1.189676166,0.302221298
0.103088346,0.448233604,1.168306231,0.317203522
0.113088346,0.422939211,1.178008318,0.284321785
0.123088346,0.428817898,1.189830542,0.237025261
0.133088346,0.418078572,1.185256004,0.235332489
0.143088346,0.426679641,1.178956032,0.25777626
0.153088346,0.436347812,1.14003253,0.273342133
0.163088346,0.452177584,1.135162115,0.27956295
0.173088346,0.485949934,1.137486935,0.245177269
0.183088346,0.476322532,1.136514306,0.2273283
0.193088346,0.456416994,1.132450461,0.211676598
0.203088346,0.464271277,1.134979129,0.23414135
0.213088346,0.439810872,1.120297074,0.325868607
0.223088346,0.452623218,1.131399989,0.343188286
0.233088346,0.463111073,1.167414784,0.305084229
0.243088346,0.486061215,1.168699145,0.30500412
0.253088346,0.453796655,1.13574779,0.283187866
0.263088346,0.421002805,1.172157884,0.261328697
0.273088346,0.410975605,1.050729394,0.208895683
0.283088346,0.392251551,0.957345366,0.230462074
0.293088346,0.346834987,0.856683612,0.313126564
0.303088346,0.280673176,0.778426051,0.247880936
0.313088346,0.246108785,0.702411294,0.027062416
0.32308838,0.241419077,0.6245085,-0.095582962
0.33308838,0.248168051,0.533689737,0.08099556
0.34308838,0.173726186,0.487028122,0.027370453
0.35308838,0.148948386,0.442119002,-0.048574448
0.36308838,0.138676807,0.377037764,-0.084742546
0.383088346,0.147020996,0.278398156,0.086164474
0.393088346,0.126868576,0.261224151,0.141769409
0.403088346,0.134239033,0.252477646,0.147410393
0.413088346,0.163495094,0.147957087,0.191419601
0.423088346,0.126917541,0.162224054,0.127976418
0.433088346,0.097011425,0.160960436,0.055204391
0.443088346,0.070548587,0.096662521,0.025870323
0.453088346,0.012485385,0.06929791,0.080982208
0.463088346,-0.012627855,0.092937827,0.002598763
0.473088346,0.011948943,0.064958215,-0.018008232
0.483088346,0.034185395,0.088351607,-0.028849602
0.493088346,0.0354449,0.063260198,0.085127831
0.503088346,-0.020479381,0.082864404,0.084469795
0.513088346,0.04408522,0.066895843,0.1102314
0.523088346,0.030390099,0.042330146,0.114226341
0.533088346,0.063098118,0.035433173,0.120339394
0.543088346,0.068148531,0.046212435,0.071108818
0.553088346,0.077931091,0.008311152,0.004981995
0.563088346,0.074117012,-0.022089362,0.015542984
0.573088379,0.058222771,0.018098712,0.115515709
0.583088379,0.044374272,-0.002672315,0.136699677
0.593088379,0.0324862,0.015223742,0.095692635
0.603088379,0.020923242,0.052549839,0.045165062
0.613088379,-0.021550953,0.054059386,-0.029281616
0.633088345,0.016614243,0.039656758,0.09273243
0.643088345,0.02677986,0.004416347,0.095254898
0.653088345,0.025267631,0.084474921,0.102635384
0.663088345,0.026987955,0.060427666,0.085846901
0.673088345,0.039898738,0.05729723,0.107240677
0.683088345,0.034175396,0.053665042,0.097432137
0.693088345,0.040648751,0.023626924,0.066068649
0.703088345,0.018367499,0.010973096,0.044388771
0.713088345,0.02343896,-0.005762935,0.022850037
0.723088345,0.009486854,0.016046524,-0.022586823
0.733088345,-0.014854446,0.003533244,0.025196075
0.743088345,-0.023440436,-0.021068573,0.017875671
0.753088345,-0.035960659,-0.004270792,0.034631729
0.763088345,-0.025827467,-0.065452576,0.030039787
0.773088345,-0.06832324,-0.076995254,0.004205704
0.783088345,-0.064465761,-0.082595944,0.036049843
0.793088345,-0.093565285,-0.106002092,0.082507133
0.803088345,-0.041842774,-0.068168759,0.064599037
0.813088345,-0.010487199,-0.07083106,0.082666397
0.823088378,0.00201185,-0.065992236,0.057709694
0.833088378,0.026501864,-0.068643093,-0.007994652
0.843088378,0.001806602,-0.045111537,0.00287056
0.853088378,0.00683926,-0.041407824,-0.003166199
0.863088378,-0.01060842,-0.05767715,-0.004574776
0.883088344,0.022767201,-0.051120877,0.030562401
0.893088344,0.025336027,-0.023133397,0.02411747
0.903088344,-0.004950106,-0.026645303,-0.006320953
0.913088344,-0.001998112,-0.048962474,-0.041489601
0.923088344,-0.036241099,-0.041691899,-0.038216591
0.933088344,-0.041449398,0.029065371,-0.010766029
0.943088344,-0.013978913,0.015562892,0.047759056
0.953088344,0.00753054,-0.01342535,0.180324554
0.963088344,-0.04790245,0.01066637,0.173653603
0.973088344,-0.023377359,0.03021431,-0.053661346
0.983088344,0.043782234,0.035027504,-0.146929741
0.993088344,0.038248703,-0.002243876,-0.065249443
1.003088344,-0.006593704,-0.047640085,-0.057590485
1.013088344,0.021633297,-0.027063966,-0.042526245
1.023088344,0.012939781,-0.046351075,-0.024931908
1.033088344,-0.000968322,-0.057932496,-0.057522774
1.043088344,-0.01875715,-0.040219784,-0.008583069
1.053088344,-0.005895346,-0.059968114,0.057318687
1.063088344,-0.000593498,-0.031532645,0.051499367
1.073088377,-0.014455602,-0.047722697,0.102855682
1.083088377,-0.024623424,-0.024899125,0.12514019
1.093088377,-0.009602442,-0.037533164,0.034503937
1.103088377,-0.038495004,-0.032534122,0.017782211
1.113088377,-0.017820388,-0.015546799,-0.046837807
1.133088343,-0.014010042,-0.031648636,-0.063491821
1.143088343,-0.010815397,-0.032579064,-0.010522842
1.153088343,0.00202179,-0.003739953,0.033068657
1.163088343,-0.002048165,0.008119106,0.052674294
1.173088343,0.015372187,6.46114E-05,-0.021240234
1.183088343,0.015496328,0.00361824,-0.047350883
1.193088343,0.015148029,0.00409019,-0.047268867
1.203088343,0.00304842,-0.035458803,-0.047050476
1.213088343,-0.023761913,-0.091406345,0.00590229
1.223088343,-0.033629805,-0.082103729,-0.000880241
1.233088343,0.002208397,-0.061338305,0.054494858
1.243088343,0.041892976,-0.065842628,0.119170189
1.253088343,-0.000838801,-0.073574424,0.030436516
1.263088343,0.012435913,-0.047923684,-0.084640503
1.273088343,0.016499311,-0.018944502,-0.156435966
1.283088343,0.024219364,0.01664567,-0.122556686
1.293088343,0.019405752,0.036456704,0.079092979
1.303088343,0.041388243,0.057657242,0.120147705
1.313088343,0.027913183,0.097571611,0.10799408
1.323088376,0.047662199,0.086281061,0.061675072
1.333088376,0.029616982,0.065686226,0.043645859
1.343088376,0.036864921,0.054084301,0.05182457
1.353088376,0.032449737,0.045339823,0.067287445
1.363088376,0.013877198,0.04642117,0.058866501
1.383088342,-0.006287202,0.036563873,0.020530701
1.393088342,-0.022799581,0.042803526,-0.011710167
1.403088342,-0.027436078,0.018176198,0.006378174
1.413088342,-0.041692853,-0.010570407,0.067688942
1.423088342,-0.03604053,-0.026663899,0.066894531
1.433088342,-0.022042543,-0.039579034,0.051900864
1.443088342,-0.033650994,-0.015827894,0.034667015
1.453088342,-0.042765155,0.00087297,0.017461777
1.463088342,-0.00917457,0.005532265,0.009812355
1.473088342,-0.007597983,-0.001711369,0.004555702
1.483088342,0.005539522,0.014801621,0.075873375
1.493088342,0.047455512,-0.005504847,0.046469688
1.503088342,0.045698069,-0.009956479,0.045620918
1.513088342,0.017139867,-0.03375411,-0.027093887
1.523088342,0.03665705,-0.014499903,-0.011223793
1.533088342,0.008174971,0.014686108,-0.069509506
1.543088342,0.010920405,0.012618423,-0.048807144
1.553088342,0.015239939,0.006118059,-0.02326107
1.566806191,0.022007763,0.043038726,0.05262661
1.576806224,0.054920211,0.069541693,0.015832901
1.586806224,0.022954248,0.068382263,0.021897316
1.596806224,0.046139747,0.08057642,0.075669289
1.606806224,0.043375403,0.072702646,0.074224472
1.616806224,0.036228672,0.077830553,0.209020615
1.63680619,0.001015395,0.09482646,0.049172401
1.64680619,0.012864091,0.095950365,-0.084812164
1.65680619,0.024068564,0.014683843,-0.082045555
1.66680619,0.000508979,0.017868876,-0.050027847
1.67680619,-0.002667546,-0.000816941,-0.024848938
1.68680619,0.02401457,0.056686163,-0.075962067
1.69680619,0.026002824,0.054883838,0.011875153
1.70680619,-0.010713048,0.041603088,0.037545204
1.71680619,-0.007172301,0.053070426,0.03704071
1.72680619,0.014533773,0.060990691,0.079456329
1.73680619,0.028949253,0.052764773,0.171850204
1.74680619,-0.007890679,0.009105206,0.182515144
1.75680619,-0.009351321,-0.000348926,0.180925369
1.76680619,0.007551223,-0.029503465,0.081082344
1.77680619,-0.023681179,-0.018339515,0.029071808
1.78680619,-0.010040224,0.020596027,0.013210297
1.79680619,-0.019461103,0.011115789,0.057524681
1.80680619,-0.015148364,0.056381464,0.023190498
1.81680619,0.002545118,0.094780803,0.051174164
1.826806223,0.001094885,0.108793855,0.055147171
1.836806223,0.003647193,0.102357507,0.078061104
1.846806223,0.014841303,0.092253447,0.043305397
1.856806223,0.001675531,0.030634761,0.02511692
1.866806223,0.012675613,0.010046244,0.009384155
1.886806189,0.025523953,0.009709954,-0.057572365
1.896806189,0.066004798,0.001456022,0.0277071
1.906806189,0.059368391,0.002098441,0.029441833
1.916806189,0.020617664,0.019322395,0.088599205
1.926806189,0.031539343,0.033264875,0.013544083
